ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,weekday,net_xyz_vs_,net_xyz_vs_other_card,YearMonth,YearMonth_str
KK Nagar ATM,2011-02-04,221,181,40,919100,793800,125300,Friday,National_holiday,,WWH,Friday,141,141,2011-02,2011-02
Christ College ATM,2011-02-04,78,38,40,382500,220300,162200,Friday,National_holiday,,WWH,Friday,-2,-2,2011-02,2011-02
Big Street ATM,2011-02-05,23,13,10,144000,91700,52300,Saturday,National_holiday,True,WHH,Saturday,3,3,2011-02,2011-02
Mount Road ATM,2011-02-05,249,112,137,1007100,637200,369900,Saturday,National_holiday,True,WHH,Saturday,-25,-25,2011-02,2011-02
Airport ATM,2011-02-05,110,75,35,520200,367500,152700,Saturday,National_holiday,True,WHH,Saturday,40,40,2011-02,2011-02
KK Nagar ATM,2011-02-05,203,165,38,767500,678800,88700,Saturday,National_holiday,True,WHH,Saturday,127,127,2011-02,2011-02
Christ College ATM,2011-02-05,100,46,54,429800,230700,199100,Saturday,National_holiday,True,WHH,Saturday,-8,-8,2011-02,2011-02
KK Nagar ATM,2011-02-06,159,106,53,387400,260200,127200,Sunday,National_holiday,True,HHW,Sunday,53,53,2011-02,2011-02
Airport ATM,2011-02-06,128,64,64,478900,282700,196200,Sunday,National_holiday,True,HHW,Sunday,0,0,2011-02,2011-02
Christ College ATM,2011-02-06,92,28,64,292300,78800,213500,Sunday,National_holiday,True,HHW,Sunday,-36,-36,2011-02,2011-02
Big Street ATM,2011-02-06,32,14,18,110400,59000,51400,Sunday,National_holiday,True,HHW,Sunday,-4,-4,2011-02,2011-02
Mount Road ATM,2011-02-06,175,63,112,499900,240100,259800,Sunday,National_holiday,True,HHW,Sunday,-49,-49,2011-02,2011-02
Christ College ATM,2011-02-07,110,48,62,430000,190600,239400,Monday,National_holiday,,HWW,Monday,-14,-14,2011-02,2011-02
KK Nagar ATM,2011-02-07,223,162,61,849600,628700,220900,Monday,National_holiday,,HWW,Monday,101,101,2011-02,2011-02
Big Street ATM,2011-02-07,28,13,15,80300,38600,41700,Monday,National_holiday,,HWW,Monday,-2,-2,2011-02,2011-02
Mount Road ATM,2011-02-07,176,95,81,622800,389000,233800,Monday,National_holiday,,HWW,Monday,14,14,2011-02,2011-02
Airport ATM,2011-02-07,110,63,47,440400,308200,132200,Monday,National_holiday,,HWW,Monday,16,16,2011-02,2011-02
Big Street ATM,2011-02-08,42,20,22,175300,89800,85500,Tuesday,National_holiday,,WWW,Tuesday,-2,-2,2011-02,2011-02
Mount Road ATM,2011-02-08,198,94,104,620200,354900,265300,Tuesday,National_holiday,,WWW,Tuesday,-10,-10,2011-02,2011-02
KK Nagar ATM,2011-02-08,209,175,34,798000,683800,114200,Tuesday,National_holiday,,WWW,Tuesday,141,141,2011-02,2011-02
Christ College ATM,2011-02-08,93,45,48,343000,175500,167500,Tuesday,National_holiday,,WWW,Tuesday,-3,-3,2011-02,2011-02
Airport ATM,2011-02-08,121,92,29,609200,528400,80800,Tuesday,National_holiday,,WWW,Tuesday,63,63,2011-02,2011-02
Big Street ATM,2011-02-09,32,14,18,94600,42900,51700,Wednesday,National_holiday,,WWW,Wednesday,-4,-4,2011-02,2011-02
Mount Road ATM,2011-02-09,176,102,74,649100,433000,216100,Wednesday,National_holiday,,WWW,Wednesday,28,28,2011-02,2011-02
Airport ATM,2011-02-09,108,71,37,507800,383100,124700,Wednesday,National_holiday,,WWW,Wednesday,34,34,2011-02,2011-02
KK Nagar ATM,2011-02-09,225,162,63,1003900,763600,240300,Wednesday,National_holiday,,WWW,Wednesday,99,99,2011-02,2011-02
Christ College ATM,2011-02-09,81,33,48,381600,153900,227700,Wednesday,National_holiday,,WWW,Wednesday,-15,-15,2011-02,2011-02
Christ College ATM,2011-02-10,91,44,47,348300,236900,111400,Thursday,National_holiday,,WWW,Thursday,-3,-3,2011-02,2011-02
KK Nagar ATM,2011-02-10,198,156,42,767000,616900,150100,Thursday,National_holiday,,WWW,Thursday,114,114,2011-02,2011-02
Airport ATM,2011-02-10,107,85,22,456800,394800,62000,Thursday,National_holiday,,WWW,Thursday,63,63,2011-02,2011-02
Big Street ATM,2011-02-10,31,15,16,78100,39800,38300,Thursday,National_holiday,,WWW,Thursday,-1,-1,2011-02,2011-02
Mount Road ATM,2011-02-10,175,98,77,508500,320800,187700,Thursday,National_holiday,,WWW,Thursday,21,21,2011-02,2011-02
Big Street ATM,2011-02-11,31,16,15,107400,81000,26400,Friday,National_holiday,,WWW,Friday,1,1,2011-02,2011-02
Mount Road ATM,2011-02-11,168,79,89,462500,323900,138600,Friday,National_holiday,,WWW,Friday,-10,-10,2011-02,2011-02
Airport ATM,2011-02-11,80,59,21,406100,345900,60200,Friday,National_holiday,,WWW,Friday,38,38,2011-02,2011-02
KK Nagar ATM,2011-02-11,177,158,19,615500,582700,32800,Friday,National_holiday,,WWW,Friday,139,139,2011-02,2011-02
Christ College ATM,2011-02-11,78,30,48,413300,153600,259700,Friday,National_holiday,,WWW,Friday,-18,-18,2011-02,2011-02
Big Street ATM,2011-02-12,45,17,28,143200,66800,76400,Saturday,National_holiday,True,WHH,Saturday,-11,-11,2011-02,2011-02
Mount Road ATM,2011-02-12,172,81,91,357100,142900,214200,Saturday,National_holiday,True,WHH,Saturday,-10,-10,2011-02,2011-02
Airport ATM,2011-02-12,116,86,30,429200,356700,72500,Saturday,National_holiday,True,WHH,Saturday,56,56,2011-02,2011-02
