ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence,weekday,net_xyz_vs_,net_xyz_vs_other_card,YearMonth,YearMonth_str
KK Nagar ATM,2014-03-12,212,137,75,1100500,732500,368000,WEDNESDAY,National_holiday,,WWW,Wednesday,62,62,2014-03,2014-03
Christ College ATM,2014-03-12,127,48,79,685700,342300,343400,WEDNESDAY,National_holiday,,WWW,Wednesday,-31,-31,2014-03,2014-03
Christ College ATM,2014-04-02,138,68,70,820300,495800,324500,WEDNESDAY,National_holiday,,WWW,Wednesday,-2,-2,2014-04,2014-04
KK Nagar ATM,2014-04-02,271,194,77,1385700,997700,388000,WEDNESDAY,National_holiday,,WWW,Wednesday,117,117,2014-04,2014-04
Airport ATM,2014-04-02,58,43,15,206200,190500,15700,WEDNESDAY,National_holiday,,WWW,Wednesday,28,28,2014-04,2014-04
Big Street ATM,2014-04-02,76,25,51,313900,165000,148900,WEDNESDAY,National_holiday,,WWW,Wednesday,-26,-26,2014-04,2014-04
Mount Road ATM,2014-04-02,52,34,18,192700,139800,52900,WEDNESDAY,National_holiday,,WWW,Wednesday,16,16,2014-04,2014-04
Big Street ATM,2014-04-03,99,43,56,423800,257000,166800,THURSDAY,National_holiday,,WWW,Thursday,-13,-13,2014-04,2014-04
Mount Road ATM,2014-04-03,212,126,86,1006500,654900,351600,THURSDAY,National_holiday,,WWW,Thursday,40,40,2014-04,2014-04
Airport ATM,2014-04-03,31,23,8,141100,127700,13400,THURSDAY,National_holiday,,WWW,Thursday,15,15,2014-04,2014-04
KK Nagar ATM,2014-04-03,270,186,84,1758300,1283500,474800,THURSDAY,National_holiday,,WWW,Thursday,102,102,2014-04,2014-04
Christ College ATM,2014-04-03,235,81,154,1153500,482100,671400,THURSDAY,National_holiday,,WWW,Thursday,-73,-73,2014-04,2014-04
KK Nagar ATM,2014-04-04,280,179,101,1532300,925800,606500,FRIDAY,National_holiday,,WWH,Friday,78,78,2014-04,2014-04
Airport ATM,2014-04-04,1,0,1,500,0,500,FRIDAY,National_holiday,,WWH,Friday,-1,-1,2014-04,2014-04
Christ College ATM,2014-04-04,131,49,82,605800,224000,381800,FRIDAY,National_holiday,,WWH,Friday,-33,-33,2014-04,2014-04
Big Street ATM,2014-04-04,130,47,83,478100,267100,211000,FRIDAY,National_holiday,,WWH,Friday,-36,-36,2014-04,2014-04
Mount Road ATM,2014-04-04,177,103,74,948100,647900,300200,FRIDAY,National_holiday,,WWH,Friday,29,29,2014-04,2014-04
Big Street ATM,2014-04-05,112,44,68,401700,197100,204600,SATURDAY,National_holiday,True,WHH,Saturday,-24,-24,2014-04,2014-04
Mount Road ATM,2014-04-05,182,109,73,772600,545100,227500,SATURDAY,National_holiday,True,WHH,Saturday,36,36,2014-04,2014-04
KK Nagar ATM,2014-04-05,317,236,81,1900700,1470200,430500,SATURDAY,National_holiday,True,WHH,Saturday,155,155,2014-04,2014-04
Christ College ATM,2014-04-05,140,71,69,831700,456100,375600,SATURDAY,National_holiday,True,WHH,Saturday,2,2,2014-04,2014-04
Big Street ATM,2014-04-06,120,35,85,360500,158200,202300,SUNDAY,National_holiday,True,HHW,Sunday,-50,-50,2014-04,2014-04
Mount Road ATM,2014-04-06,164,84,80,605100,410300,194800,SUNDAY,National_holiday,True,HHW,Sunday,4,4,2014-04,2014-04
KK Nagar ATM,2014-04-06,126,71,55,436600,232000,204600,SUNDAY,National_holiday,True,HHW,Sunday,16,16,2014-04,2014-04
Christ College ATM,2014-04-06,186,59,127,735300,243700,491600,SUNDAY,National_holiday,True,HHW,Sunday,-68,-68,2014-04,2014-04
Big Street ATM,2014-04-07,115,43,72,462300,216700,245600,MONDAY,National_holiday,,HWW,Monday,-29,-29,2014-04,2014-04
Mount Road ATM,2014-04-07,181,109,72,721300,521600,199700,MONDAY,National_holiday,,HWW,Monday,37,37,2014-04,2014-04
Airport ATM,2014-04-07,4,0,4,11800,0,11800,MONDAY,National_holiday,,HWW,Monday,-4,-4,2014-04,2014-04
KK Nagar ATM,2014-04-07,236,167,69,1149300,878300,271000,MONDAY,National_holiday,,HWW,Monday,98,98,2014-04,2014-04
Christ College ATM,2014-04-07,227,73,154,1154300,440200,714100,MONDAY,National_holiday,,HWW,Monday,-81,-81,2014-04,2014-04
KK Nagar ATM,2014-04-08,257,167,90,1253800,858700,395100,TUESDAY,National_holiday,,WWW,Tuesday,77,77,2014-04,2014-04
Christ College ATM,2014-04-08,248,75,173,1163100,468600,694500,TUESDAY,National_holiday,,WWW,Tuesday,-98,-98,2014-04,2014-04
Big Street ATM,2014-04-08,124,44,80,476200,209600,266600,TUESDAY,National_holiday,,WWW,Tuesday,-36,-36,2014-04,2014-04
Mount Road ATM,2014-04-08,222,103,119,814200,448300,365900,TUESDAY,National_holiday,,WWW,Tuesday,-16,-16,2014-04,2014-04
Big Street ATM,2014-04-09,125,42,83,408700,149200,259500,WEDNESDAY,National_holiday,,WWW,Wednesday,-41,-41,2014-04,2014-04
Mount Road ATM,2014-04-09,157,89,68,741800,469400,272400,WEDNESDAY,National_holiday,,WWW,Wednesday,21,21,2014-04,2014-04
KK Nagar ATM,2014-04-09,267,183,84,1626000,1199700,426300,WEDNESDAY,National_holiday,,WWW,Wednesday,99,99,2014-04,2014-04
Christ College ATM,2014-04-09,160,59,101,803400,366600,436800,WEDNESDAY,National_holiday,,WWW,Wednesday,-42,-42,2014-04,2014-04
Big Street ATM,2014-04-10,140,42,98,637200,305600,331600,THURSDAY,National_holiday,,WWW,Thursday,-56,-56,2014-04,2014-04
Mount Road ATM,2014-04-10,172,95,77,668000,394900,273100,THURSDAY,National_holiday,,WWW,Thursday,18,18,2014-04,2014-04
KK Nagar ATM,2014-04-10,249,172,77,1289700,964100,325600,THURSDAY,National_holiday,,WWW,Thursday,95,95,2014-04,2014-04
Christ College ATM,2014-04-10,166,63,103,910400,505300,405100,THURSDAY,National_holiday,,WWW,Thursday,-40,-40,2014-04,2014-04
Christ College ATM,2014-04-11,157,46,111,916200,323000,593200,FRIDAY,National_holiday,,WWH,Friday,-65,-65,2014-04,2014-04
KK Nagar ATM,2014-04-11,300,221,79,1388300,1057800,330500,FRIDAY,National_holiday,,WWH,Friday,142,142,2014-04,2014-04
Big Street ATM,2014-04-11,130,37,93,441100,159900,281200,FRIDAY,National_holiday,,WWH,Friday,-56,-56,2014-04,2014-04
Mount Road ATM,2014-04-11,167,77,90,535900,322200,213700,FRIDAY,National_holiday,,WWH,Friday,-13,-13,2014-04,2014-04
Big Street ATM,2014-04-12,114,42,72,439100,243100,196000,SATURDAY,National_holiday,True,WHH,Saturday,-30,-30,2014-04,2014-04
Mount Road ATM,2014-04-12,188,104,84,768600,505300,263300,SATURDAY,National_holiday,True,WHH,Saturday,20,20,2014-04,2014-04
Airport ATM,2014-04-12,46,41,5,268400,264900,3500,SATURDAY,National_holiday,True,WHH,Saturday,36,36,2014-04,2014-04
KK Nagar ATM,2014-04-12,270,201,69,1268200,975000,293200,SATURDAY,National_holiday,True,WHH,Saturday,132,132,2014-04,2014-04
Christ College ATM,2014-04-12,215,75,140,915700,401300,514400,SATURDAY,National_holiday,True,WHH,Saturday,-65,-65,2014-04,2014-04
Christ College ATM,2014-05-01,80,39,41,478600,211700,266900,THURSDAY,Normal_Day,True,WHW,Thursday,-2,-2,2014-05,2014-05
KK Nagar ATM,2014-05-01,215,152,63,973000,659500,313500,THURSDAY,Normal_Day,True,WHW,Thursday,89,89,2014-05,2014-05
Big Street ATM,2014-05-01,70,24,46,349200,161200,188000,THURSDAY,Normal_Day,True,WHW,Thursday,-22,-22,2014-05,2014-05
Mount Road ATM,2014-05-01,102,60,42,438300,283600,154700,THURSDAY,Normal_Day,True,WHW,Thursday,18,18,2014-05,2014-05
Airport ATM,2014-05-01,67,59,8,443600,427600,16000,THURSDAY,Normal_Day,True,WHW,Thursday,51,51,2014-05,2014-05
Big Street ATM,2014-05-02,109,45,64,473000,206900,266100,FRIDAY,National_holiday,,HWH,Friday,-19,-19,2014-05,2014-05
Mount Road ATM,2014-05-02,165,117,48,883100,709900,173200,FRIDAY,National_holiday,,HWH,Friday,69,69,2014-05,2014-05
Airport ATM,2014-05-02,103,83,20,455200,379400,75800,FRIDAY,National_holiday,,HWH,Friday,63,63,2014-05,2014-05
KK Nagar ATM,2014-05-02,366,253,113,2221600,1706300,515300,FRIDAY,National_holiday,,HWH,Friday,140,140,2014-05,2014-05
Christ College ATM,2014-05-02,138,66,72,718600,376200,342400,FRIDAY,National_holiday,,HWH,Friday,-6,-6,2014-05,2014-05
Big Street ATM,2014-05-03,83,31,52,248200,89200,159000,SATURDAY,National_holiday,True,WHH,Saturday,-21,-21,2014-05,2014-05
Mount Road ATM,2014-05-03,200,130,70,925300,680300,245000,SATURDAY,National_holiday,True,WHH,Saturday,60,60,2014-05,2014-05
Airport ATM,2014-05-03,153,138,15,978600,919800,58800,SATURDAY,National_holiday,True,WHH,Saturday,123,123,2014-05,2014-05
KK Nagar ATM,2014-05-03,268,191,77,1449100,1083300,365800,SATURDAY,National_holiday,True,WHH,Saturday,114,114,2014-05,2014-05
Christ College ATM,2014-05-03,155,75,80,797800,426900,370900,SATURDAY,National_holiday,True,WHH,Saturday,-5,-5,2014-05,2014-05
KK Nagar ATM,2014-05-04,116,88,28,485300,368300,117000,SUNDAY,National_holiday,True,HHW,Sunday,60,60,2014-05,2014-05
Airport ATM,2014-05-04,103,87,16,494900,426100,68800,SUNDAY,National_holiday,True,HHW,Sunday,71,71,2014-05,2014-05
Christ College ATM,2014-05-04,112,41,71,533700,200200,333500,SUNDAY,National_holiday,True,HHW,Sunday,-30,-30,2014-05,2014-05
Big Street ATM,2014-05-04,99,42,57,340500,180400,160100,SUNDAY,National_holiday,True,HHW,Sunday,-15,-15,2014-05,2014-05
Mount Road ATM,2014-05-04,95,44,51,459500,272300,187200,SUNDAY,National_holiday,True,HHW,Sunday,-7,-7,2014-05,2014-05
Big Street ATM,2014-05-05,48,19,29,190900,126600,64300,MONDAY,National_holiday,,HWW,Monday,-10,-10,2014-05,2014-05
Mount Road ATM,2014-05-05,192,111,81,1022100,701500,320600,MONDAY,National_holiday,,HWW,Monday,30,30,2014-05,2014-05
Airport ATM,2014-05-05,96,84,12,502400,460000,42400,MONDAY,National_holiday,,HWW,Monday,72,72,2014-05,2014-05
KK Nagar ATM,2014-05-05,298,198,100,1687100,1206500,480600,MONDAY,National_holiday,,HWW,Monday,98,98,2014-05,2014-05
Christ College ATM,2014-05-05,129,43,86,676900,286800,390100,MONDAY,National_holiday,,HWW,Monday,-43,-43,2014-05,2014-05
Christ College ATM,2014-05-06,152,67,85,821400,329500,491900,TUESDAY,National_holiday,,WWW,Tuesday,-18,-18,2014-05,2014-05
KK Nagar ATM,2014-05-06,349,223,126,1725400,1131300,594100,TUESDAY,National_holiday,,WWW,Tuesday,97,97,2014-05,2014-05
Airport ATM,2014-05-06,87,62,25,595400,477900,117500,TUESDAY,National_holiday,,WWW,Tuesday,37,37,2014-05,2014-05
Big Street ATM,2014-05-06,61,19,42,155700,19200,136500,TUESDAY,National_holiday,,WWW,Tuesday,-23,-23,2014-05,2014-05
Mount Road ATM,2014-05-06,159,85,74,604500,415200,189300,TUESDAY,National_holiday,,WWW,Tuesday,11,11,2014-05,2014-05
Big Street ATM,2014-05-07,99,28,71,376700,136800,239900,WEDNESDAY,National_holiday,,WWW,Wednesday,-43,-43,2014-05,2014-05
Mount Road ATM,2014-05-07,171,90,81,740300,443500,296800,WEDNESDAY,National_holiday,,WWW,Wednesday,9,9,2014-05,2014-05
Airport ATM,2014-05-07,134,101,33,724200,603000,121200,WEDNESDAY,National_holiday,,WWW,Wednesday,68,68,2014-05,2014-05
KK Nagar ATM,2014-05-07,254,151,103,1270600,782200,488400,WEDNESDAY,National_holiday,,WWW,Wednesday,48,48,2014-05,2014-05
Christ College ATM,2014-05-07,139,50,89,626000,210700,415300,WEDNESDAY,National_holiday,,WWW,Wednesday,-39,-39,2014-05,2014-05
Christ College ATM,2014-05-08,130,53,77,684200,367700,316500,THURSDAY,National_holiday,,WWW,Thursday,-24,-24,2014-05,2014-05
KK Nagar ATM,2014-05-08,299,184,115,1510400,961200,549200,THURSDAY,National_holiday,,WWW,Thursday,69,69,2014-05,2014-05
Big Street ATM,2014-05-08,101,35,66,298800,118300,180500,THURSDAY,National_holiday,,WWW,Thursday,-31,-31,2014-05,2014-05
Mount Road ATM,2014-05-08,183,92,91,850400,498300,352100,THURSDAY,National_holiday,,WWW,Thursday,1,1,2014-05,2014-05
Airport ATM,2014-05-08,111,86,25,561900,442400,119500,THURSDAY,National_holiday,,WWW,Thursday,61,61,2014-05,2014-05
Big Street ATM,2014-05-09,40,14,26,145900,77700,68200,FRIDAY,National_holiday,,WWH,Friday,-12,-12,2014-05,2014-05
Mount Road ATM,2014-05-09,147,70,77,493300,221500,271800,FRIDAY,National_holiday,,WWH,Friday,-7,-7,2014-05,2014-05
Airport ATM,2014-05-09,81,69,12,563300,513000,50300,FRIDAY,National_holiday,,WWH,Friday,57,57,2014-05,2014-05
KK Nagar ATM,2014-05-09,289,201,88,1589300,1221400,367900,FRIDAY,National_holiday,,WWH,Friday,113,113,2014-05,2014-05
Christ College ATM,2014-05-09,138,63,75,675100,283700,391400,FRIDAY,National_holiday,,WWH,Friday,-12,-12,2014-05,2014-05
Christ College ATM,2014-05-10,113,51,62,619400,333000,286400,SATURDAY,National_holiday,True,WHH,Saturday,-11,-11,2014-05,2014-05
Airport ATM,2014-05-10,104,98,6,599700,571500,28200,SATURDAY,National_holiday,True,WHH,Saturday,92,92,2014-05,2014-05
KK Nagar ATM,2014-05-10,286,220,66,1243000,1001000,242000,SATURDAY,National_holiday,True,WHH,Saturday,154,154,2014-05,2014-05
Big Street ATM,2014-05-10,90,39,51,369500,202500,167000,SATURDAY,National_holiday,True,WHH,Saturday,-12,-12,2014-05,2014-05
Mount Road ATM,2014-05-10,243,111,132,916900,539400,377500,SATURDAY,National_holiday,True,WHH,Saturday,-21,-21,2014-05,2014-05
Big Street ATM,2014-05-11,77,28,49,203300,73900,129400,SUNDAY,National_holiday,True,HHW,Sunday,-21,-21,2014-05,2014-05
Mount Road ATM,2014-05-11,113,52,61,286500,108700,177800,SUNDAY,National_holiday,True,HHW,Sunday,-9,-9,2014-05,2014-05
Airport ATM,2014-05-11,84,84,0,407400,407400,0,SUNDAY,National_holiday,True,HHW,Sunday,84,84,2014-05,2014-05
KK Nagar ATM,2014-05-11,108,83,25,454600,387500,67100,SUNDAY,National_holiday,True,HHW,Sunday,58,58,2014-05,2014-05
Christ College ATM,2014-05-11,60,39,21,254600,206200,48400,SUNDAY,National_holiday,True,HHW,Sunday,18,18,2014-05,2014-05
Christ College ATM,2014-05-12,117,57,60,570800,324400,246400,MONDAY,National_holiday,,HWW,Monday,-3,-3,2014-05,2014-05
KK Nagar ATM,2014-05-12,255,188,67,1247400,1025500,221900,MONDAY,National_holiday,,HWW,Monday,121,121,2014-05,2014-05
Big Street ATM,2014-05-12,71,24,47,269600,91200,178400,MONDAY,National_holiday,,HWW,Monday,-23,-23,2014-05,2014-05
Mount Road ATM,2014-05-12,168,90,78,660100,419400,240700,MONDAY,National_holiday,,HWW,Monday,12,12,2014-05,2014-05
Airport ATM,2014-05-12,96,93,3,494400,475400,19000,MONDAY,National_holiday,,HWW,Monday,90,90,2014-05,2014-05
Big Street ATM,2014-06-01,142,39,103,395500,132700,262800,SUNDAY,National_holiday,True,HHW,Sunday,-64,-64,2014-06,2014-06
Mount Road ATM,2014-06-01,193,60,133,773100,293700,479400,SUNDAY,National_holiday,True,HHW,Sunday,-73,-73,2014-06,2014-06
Airport ATM,2014-06-01,96,71,25,404100,355300,48800,SUNDAY,National_holiday,True,HHW,Sunday,46,46,2014-06,2014-06
KK Nagar ATM,2014-06-01,303,127,176,1362100,567300,794800,SUNDAY,National_holiday,True,HHW,Sunday,-49,-49,2014-06,2014-06
Christ College ATM,2014-06-01,240,46,194,934400,226200,708200,SUNDAY,National_holiday,True,HHW,Sunday,-148,-148,2014-06,2014-06
Christ College ATM,2014-06-02,170,37,133,951900,245400,706500,MONDAY,National_holiday,,HWW,Monday,-96,-96,2014-06,2014-06
Big Street ATM,2014-06-02,147,47,100,639000,263500,375500,MONDAY,National_holiday,,HWW,Monday,-53,-53,2014-06,2014-06
Mount Road ATM,2014-06-02,236,111,125,1130100,698400,431700,MONDAY,National_holiday,,HWW,Monday,-14,-14,2014-06,2014-06
Airport ATM,2014-06-02,142,100,42,610400,480100,130300,MONDAY,National_holiday,,HWW,Monday,58,58,2014-06,2014-06
KK Nagar ATM,2014-06-02,426,210,216,2388000,1296700,1091300,MONDAY,National_holiday,,HWW,Monday,-6,-6,2014-06,2014-06
Christ College ATM,2014-06-03,191,56,135,1082200,352200,730000,TUESDAY,National_holiday,,WWW,Tuesday,-79,-79,2014-06,2014-06
KK Nagar ATM,2014-06-03,359,239,120,1830000,1262400,567600,TUESDAY,National_holiday,,WWW,Tuesday,119,119,2014-06,2014-06
Airport ATM,2014-06-03,132,99,33,661200,544300,116900,TUESDAY,National_holiday,,WWW,Tuesday,66,66,2014-06,2014-06
Mount Road ATM,2014-06-03,154,91,63,766600,549700,216900,TUESDAY,National_holiday,,WWW,Tuesday,28,28,2014-06,2014-06
Big Street ATM,2014-06-03,92,32,60,364400,181800,182600,TUESDAY,National_holiday,,WWW,Tuesday,-28,-28,2014-06,2014-06
Big Street ATM,2014-06-04,85,32,53,334900,168300,166600,WEDNESDAY,National_holiday,,WWW,Wednesday,-21,-21,2014-06,2014-06
Mount Road ATM,2014-06-04,171,93,78,869800,574400,295400,WEDNESDAY,National_holiday,,WWW,Wednesday,15,15,2014-06,2014-06
Airport ATM,2014-06-04,111,86,25,663900,566700,97200,WEDNESDAY,National_holiday,,WWW,Wednesday,61,61,2014-06,2014-06
KK Nagar ATM,2014-06-04,329,199,130,1625800,1064500,561300,WEDNESDAY,National_holiday,,WWW,Wednesday,69,69,2014-06,2014-06
Christ College ATM,2014-06-04,212,57,155,1238700,381600,857100,WEDNESDAY,National_holiday,,WWW,Wednesday,-98,-98,2014-06,2014-06
Big Street ATM,2014-06-05,129,42,87,519100,164300,354800,THURSDAY,National_holiday,,WWW,Thursday,-45,-45,2014-06,2014-06
Mount Road ATM,2014-06-05,147,75,72,614700,383000,231700,THURSDAY,National_holiday,,WWW,Thursday,3,3,2014-06,2014-06
Airport ATM,2014-06-05,123,107,16,773200,718300,54900,THURSDAY,National_holiday,,WWW,Thursday,91,91,2014-06,2014-06
KK Nagar ATM,2014-06-05,332,203,129,1735600,1114300,621300,THURSDAY,National_holiday,,WWW,Thursday,74,74,2014-06,2014-06
Christ College ATM,2014-06-05,225,68,157,1132200,432900,699300,THURSDAY,National_holiday,,WWW,Thursday,-89,-89,2014-06,2014-06
KK Nagar ATM,2014-06-06,255,148,107,1333300,820500,512800,FRIDAY,National_holiday,,WWH,Friday,41,41,2014-06,2014-06
Airport ATM,2014-06-06,110,78,32,632300,529300,103000,FRIDAY,National_holiday,,WWH,Friday,46,46,2014-06,2014-06
Christ College ATM,2014-06-06,197,57,140,1091900,392900,699000,FRIDAY,National_holiday,,WWH,Friday,-83,-83,2014-06,2014-06
Big Street ATM,2014-06-06,103,29,74,442000,138500,303500,FRIDAY,National_holiday,,WWH,Friday,-45,-45,2014-06,2014-06
Mount Road ATM,2014-06-06,221,95,126,945300,522700,422600,FRIDAY,National_holiday,,WWH,Friday,-31,-31,2014-06,2014-06
Big Street ATM,2014-06-07,137,52,85,566200,332600,233600,SATURDAY,National_holiday,True,WHH,Saturday,-33,-33,2014-06,2014-06
Mount Road ATM,2014-06-07,236,88,148,898900,491800,407100,SATURDAY,National_holiday,True,WHH,Saturday,-60,-60,2014-06,2014-06
Airport ATM,2014-06-07,134,106,28,778400,649700,128700,SATURDAY,National_holiday,True,WHH,Saturday,78,78,2014-06,2014-06
KK Nagar ATM,2014-06-07,431,226,205,2120500,1133300,987200,SATURDAY,National_holiday,True,WHH,Saturday,21,21,2014-06,2014-06
Christ College ATM,2014-06-07,201,75,126,1221000,564800,656200,SATURDAY,National_holiday,True,WHH,Saturday,-51,-51,2014-06,2014-06
Christ College ATM,2014-06-08,105,41,64,569700,280200,289500,SUNDAY,National_holiday,True,HHW,Sunday,-23,-23,2014-06,2014-06
KK Nagar ATM,2014-06-08,255,107,148,878100,383100,495000,SUNDAY,National_holiday,True,HHW,Sunday,-41,-41,2014-06,2014-06
Airport ATM,2014-06-08,124,78,46,632900,475700,157200,SUNDAY,National_holiday,True,HHW,Sunday,32,32,2014-06,2014-06
Big Street ATM,2014-06-08,118,24,94,302600,74900,227700,SUNDAY,National_holiday,True,HHW,Sunday,-70,-70,2014-06,2014-06
Mount Road ATM,2014-06-08,177,70,107,689500,384200,305300,SUNDAY,National_holiday,True,HHW,Sunday,-37,-37,2014-06,2014-06
Big Street ATM,2014-06-09,110,42,68,482500,291100,191400,MONDAY,National_holiday,,HWW,Monday,-26,-26,2014-06,2014-06
Mount Road ATM,2014-06-09,179,93,86,722800,410700,312100,MONDAY,National_holiday,,HWW,Monday,7,7,2014-06,2014-06
Airport ATM,2014-06-09,92,76,16,393800,368700,25100,MONDAY,National_holiday,,HWW,Monday,60,60,2014-06,2014-06
KK Nagar ATM,2014-06-09,365,212,153,1768300,1083700,684600,MONDAY,National_holiday,,HWW,Monday,59,59,2014-06,2014-06
Christ College ATM,2014-06-09,178,48,130,844400,225800,618600,MONDAY,National_holiday,,HWW,Monday,-82,-82,2014-06,2014-06
Christ College ATM,2014-06-10,124,51,73,617600,293500,324100,TUESDAY,National_holiday,,WWW,Tuesday,-22,-22,2014-06,2014-06
KK Nagar ATM,2014-06-10,331,227,104,1520600,1101700,418900,TUESDAY,National_holiday,,WWW,Tuesday,123,123,2014-06,2014-06
Airport ATM,2014-06-10,124,101,23,584900,514900,70000,TUESDAY,National_holiday,,WWW,Tuesday,78,78,2014-06,2014-06
Big Street ATM,2014-06-10,133,41,92,544900,237400,307500,TUESDAY,National_holiday,,WWW,Tuesday,-51,-51,2014-06,2014-06
Mount Road ATM,2014-06-10,167,79,88,629800,364800,265000,TUESDAY,National_holiday,,WWW,Tuesday,-9,-9,2014-06,2014-06
Big Street ATM,2014-06-11,120,42,78,452800,166600,286200,WEDNESDAY,National_holiday,,WWW,Wednesday,-36,-36,2014-06,2014-06
Mount Road ATM,2014-06-11,177,84,93,685300,413400,271900,WEDNESDAY,National_holiday,,WWW,Wednesday,-9,-9,2014-06,2014-06
Airport ATM,2014-06-11,134,101,33,710900,570900,140000,WEDNESDAY,National_holiday,,WWW,Wednesday,68,68,2014-06,2014-06
KK Nagar ATM,2014-06-11,411,270,141,2085400,1479600,605800,WEDNESDAY,National_holiday,,WWW,Wednesday,129,129,2014-06,2014-06
Christ College ATM,2014-06-11,169,62,107,839200,327000,512200,WEDNESDAY,National_holiday,,WWW,Wednesday,-45,-45,2014-06,2014-06
Big Street ATM,2014-06-12,98,36,62,374100,194300,179800,THURSDAY,National_holiday,,WWW,Thursday,-26,-26,2014-06,2014-06
Mount Road ATM,2014-06-12,159,89,70,635800,456000,179800,THURSDAY,National_holiday,,WWW,Thursday,19,19,2014-06,2014-06
Airport ATM,2014-06-12,108,86,22,716800,595400,121400,THURSDAY,National_holiday,,WWW,Thursday,64,64,2014-06,2014-06
KK Nagar ATM,2014-06-12,289,206,83,1429700,1169200,260500,THURSDAY,National_holiday,,WWW,Thursday,123,123,2014-06,2014-06
Christ College ATM,2014-06-12,111,56,55,466200,262200,204000,THURSDAY,National_holiday,,WWW,Thursday,1,1,2014-06,2014-06
KK Nagar ATM,2014-07-01,336,209,127,1965400,1321600,643800,TUESDAY,National_holiday,,WWW,Tuesday,82,82,2014-07,2014-07
Airport ATM,2014-07-01,77,63,14,357600,314700,42900,TUESDAY,National_holiday,,WWW,Tuesday,49,49,2014-07,2014-07
Christ College ATM,2014-07-01,247,56,191,1208500,210800,997700,TUESDAY,National_holiday,,WWW,Tuesday,-135,-135,2014-07,2014-07
Big Street ATM,2014-07-01,142,36,106,699500,208400,491100,TUESDAY,National_holiday,,WWW,Tuesday,-70,-70,2014-07,2014-07
Mount Road ATM,2014-07-01,212,98,114,801000,468000,333000,TUESDAY,National_holiday,,WWW,Tuesday,-16,-16,2014-07,2014-07
Christ College ATM,2014-07-02,139,43,96,650500,198600,451900,WEDNESDAY,National_holiday,,WWW,Wednesday,-53,-53,2014-07,2014-07
KK Nagar ATM,2014-07-02,296,189,107,1744600,1271000,473600,WEDNESDAY,National_holiday,,WWW,Wednesday,82,82,2014-07,2014-07
Big Street ATM,2014-07-02,59,17,42,229700,101100,128600,WEDNESDAY,National_holiday,,WWW,Wednesday,-25,-25,2014-07,2014-07
Mount Road ATM,2014-07-02,220,110,110,1179400,752900,426500,WEDNESDAY,National_holiday,,WWW,Wednesday,0,0,2014-07,2014-07
Airport ATM,2014-07-02,145,102,43,946800,736200,210600,WEDNESDAY,National_holiday,,WWW,Wednesday,59,59,2014-07,2014-07
Big Street ATM,2014-07-03,70,18,52,255000,78700,176300,THURSDAY,National_holiday,,WWW,Thursday,-34,-34,2014-07,2014-07
Mount Road ATM,2014-07-03,195,122,73,1000800,765700,235100,THURSDAY,National_holiday,,WWW,Thursday,49,49,2014-07,2014-07
KK Nagar ATM,2014-07-03,266,194,72,1508400,1178000,330400,THURSDAY,National_holiday,,WWW,Thursday,122,122,2014-07,2014-07
Christ College ATM,2014-07-03,271,63,208,1330000,339200,990800,THURSDAY,National_holiday,,WWW,Thursday,-145,-145,2014-07,2014-07
Airport ATM,2014-07-03,163,139,24,940600,864300,76300,THURSDAY,National_holiday,,WWW,Thursday,115,115,2014-07,2014-07
Big Street ATM,2014-07-04,114,41,73,425200,174100,251100,FRIDAY,National_holiday,,WWH,Friday,-32,-32,2014-07,2014-07
Mount Road ATM,2014-07-04,216,103,113,990700,635900,354800,FRIDAY,National_holiday,,WWH,Friday,-10,-10,2014-07,2014-07
Airport ATM,2014-07-04,139,98,41,780000,590500,189500,FRIDAY,National_holiday,,WWH,Friday,57,57,2014-07,2014-07
KK Nagar ATM,2014-07-04,262,174,88,1211800,813800,398000,FRIDAY,National_holiday,,WWH,Friday,86,86,2014-07,2014-07
Christ College ATM,2014-07-04,173,51,122,799900,293300,506600,FRIDAY,National_holiday,,WWH,Friday,-71,-71,2014-07,2014-07
Christ College ATM,2014-07-05,192,52,140,1076100,389600,686500,SATURDAY,National_holiday,True,WHH,Saturday,-88,-88,2014-07,2014-07
KK Nagar ATM,2014-07-05,271,189,82,1368000,952500,415500,SATURDAY,National_holiday,True,WHH,Saturday,107,107,2014-07,2014-07
Airport ATM,2014-07-05,159,121,38,894000,736600,157400,SATURDAY,National_holiday,True,WHH,Saturday,83,83,2014-07,2014-07
Big Street ATM,2014-07-05,84,27,57,229300,77100,152200,SATURDAY,National_holiday,True,WHH,Saturday,-30,-30,2014-07,2014-07
Mount Road ATM,2014-07-05,276,117,159,1111100,630500,480600,SATURDAY,National_holiday,True,WHH,Saturday,-42,-42,2014-07,2014-07
Big Street ATM,2014-07-06,107,30,77,268100,109500,158600,SUNDAY,National_holiday,True,HHW,Sunday,-47,-47,2014-07,2014-07
Mount Road ATM,2014-07-06,196,69,127,604600,260200,344400,SUNDAY,National_holiday,True,HHW,Sunday,-58,-58,2014-07,2014-07
Airport ATM,2014-07-06,139,99,40,686600,567600,119000,SUNDAY,National_holiday,True,HHW,Sunday,59,59,2014-07,2014-07
